stock_symbol,date,time,open,close,high,low,volume,amount
603127,2018-12-20,15:00:00,45.4,45.39,45.4,45.2,482.71,21910.2069
603127,2018-12-20,14:45:00,45.39,45.4,45.78,45.35,400.0,18160.0
603127,2018-12-20,14:30:00,45.37,45.39,45.49,45.25,252.0,11438.28
603127,2018-12-20,14:15:00,45.22,45.37,45.37,45.1,621.4,28192.918
603127,2018-12-20,14:00:00,45.11,45.22,45.42,45.09,914.6,41358.212
603127,2018-12-20,13:45:00,45.39,45.11,45.44,45.1,323.0,14570.53
603127,2018-12-20,13:30:00,45.57,45.39,45.57,45.31,233.0,10575.87
603127,2018-12-20,13:15:00,45.52,45.57,45.66,45.5,144.0,6562.08
603127,2018-12-20,11:30:00,45.63,45.52,45.63,45.5,127.4,5799.248000000001
603127,2018-12-20,11:15:00,45.71,45.63,45.74,45.59,130.6,5959.278
603127,2018-12-20,11:00:00,45.82,45.71,45.89,45.69,277.0,12661.67
603127,2018-12-20,10:45:00,45.6,45.82,45.82,45.53,188.0,8614.16
603127,2018-12-20,10:30:00,46.11,45.6,46.11,45.55,1007.0,45919.2
603127,2018-12-20,10:15:00,45.38,46.11,46.23,45.2,1484.52,68451.2172
603127,2018-12-20,10:00:00,46.15,45.38,46.39,45.1,1711.0,77645.18000000001
603127,2018-12-20,09:45:00,45.96,46.15,46.3,45.53,1628.0,75132.2
603069,2018-12-20,15:00:00,6.74,6.76,6.76,6.74,1518.0,10261.68
603069,2018-12-20,14:45:00,6.75,6.74,6.76,6.74,818.0,5513.3200000000015
603069,2018-12-20,14:30:00,6.74,6.75,6.75,6.73,762.0,5143.5
603069,2018-12-20,14:15:00,6.76,6.74,6.76,6.74,801.0,5398.74
603069,2018-12-20,14:00:00,6.72,6.76,6.77,6.71,1171.0,7915.96
603069,2018-12-20,13:45:00,6.67,6.72,6.73,6.67,1271.0,8541.119999999999
603069,2018-12-20,13:30:00,6.74,6.67,6.74,6.67,1305.0,8704.35
603069,2018-12-20,13:15:00,6.71,6.74,6.76,6.71,756.0,5095.440000000001
603069,2018-12-20,11:30:00,6.76,6.71,6.78,6.7,1502.0,10078.42
603069,2018-12-20,11:15:00,6.78,6.76,6.78,6.76,457.0,3089.32
603069,2018-12-20,11:00:00,6.76,6.78,6.79,6.76,925.0,6271.5
603069,2018-12-20,10:45:00,6.76,6.76,6.78,6.74,962.0,6503.12
603069,2018-12-20,10:30:00,6.75,6.76,6.76,6.73,1098.0,7422.48
603069,2018-12-20,10:15:00,6.72,6.75,6.78,6.71,1752.0,11826.0
603069,2018-12-20,10:00:00,6.75,6.72,6.77,6.71,1859.0,12492.48
603069,2018-12-20,09:45:00,6.7,6.75,6.82,6.7,3010.0,20317.5
000425,2018-12-20,15:00:00,3.38,3.37,3.38,3.37,12668.2,42691.834
000425,2018-12-20,14:45:00,3.38,3.38,3.39,3.37,21975.7,74277.866
000425,2018-12-20,14:30:00,3.36,3.38,3.38,3.36,20419.0,69016.22
000425,2018-12-20,14:15:00,3.37,3.36,3.38,3.36,11635.0,39093.6
000425,2018-12-20,14:00:00,3.37,3.38,3.38,3.36,16431.0,55536.78
000425,2018-12-20,13:45:00,3.35,3.37,3.37,3.35,22292.8,75126.73599999999
000425,2018-12-20,13:30:00,3.37,3.36,3.37,3.35,18379.2,61754.112
000425,2018-12-20,13:15:00,3.37,3.37,3.38,3.36,20353.3,68590.621
000425,2018-12-20,11:30:00,3.38,3.38,3.39,3.37,8751.7,29580.746000000006
000425,2018-12-20,11:15:00,3.38,3.38,3.39,3.37,10898.0,36835.24
000425,2018-12-20,11:00:00,3.39,3.38,3.39,3.38,9885.0,33411.3
000425,2018-12-20,10:45:00,3.39,3.39,3.39,3.37,9651.77,32719.500300000003
000425,2018-12-20,10:30:00,3.38,3.38,3.4,3.38,11446.6,38689.508
000425,2018-12-20,10:15:00,3.38,3.38,3.4,3.36,21328.9,72091.682
000425,2018-12-20,10:00:00,3.39,3.38,3.39,3.37,18481.7,62468.14599999999
000425,2018-12-20,09:45:00,3.38,3.39,3.4,3.37,32635.0,110632.65
002228,2018-12-20,15:00:00,4.49,4.49,4.5,4.49,5957.75,26750.2975
002228,2018-12-20,14:45:00,4.5,4.49,4.51,4.49,6093.0,27357.57
002228,2018-12-20,14:30:00,4.47,4.5,4.5,4.47,4045.9,18206.55
002228,2018-12-20,14:15:00,4.49,4.47,4.5,4.47,4262.0,19051.14
002228,2018-12-20,14:00:00,4.47,4.5,4.5,4.46,3867.0,17401.5
002228,2018-12-20,13:45:00,4.44,4.46,4.47,4.44,3348.0,14932.08
002228,2018-12-20,13:30:00,4.46,4.44,4.47,4.44,2728.0,12112.320000000003
002228,2018-12-20,13:15:00,4.46,4.46,4.47,4.45,3777.0,16845.42
002228,2018-12-20,11:30:00,4.47,4.46,4.48,4.45,3452.0,15395.92
002228,2018-12-20,11:15:00,4.48,4.47,4.49,4.47,2604.0,11639.88
002228,2018-12-20,11:00:00,4.49,4.48,4.5,4.48,3563.0,15962.240000000002
002228,2018-12-20,10:45:00,4.48,4.49,4.5,4.47,3051.0,13698.99
002228,2018-12-20,10:30:00,4.49,4.49,4.5,4.47,5476.0,24587.24
002228,2018-12-20,10:15:00,4.47,4.49,4.51,4.47,7256.0,32579.44
002228,2018-12-20,10:00:00,4.47,4.47,4.48,4.45,7539.0,33699.33
002228,2018-12-20,09:45:00,4.45,4.47,4.5,4.43,10623.0,47484.81
000780,2018-12-20,15:00:00,3.12,3.12,3.12,3.11,907.0,2829.84
000780,2018-12-20,14:45:00,3.12,3.12,3.14,3.12,667.0,2081.04
000780,2018-12-20,14:30:00,3.12,3.12,3.13,3.12,314.0,979.68
000780,2018-12-20,14:15:00,3.12,3.12,3.13,3.12,307.0,957.84
000780,2018-12-20,14:00:00,3.12,3.12,3.14,3.12,1154.0,3600.48
000780,2018-12-20,13:45:00,3.12,3.12,3.13,3.12,856.0,2670.7200000000007
000780,2018-12-20,13:30:00,3.13,3.12,3.13,3.12,264.55,825.3960000000002
000780,2018-12-20,13:15:00,3.14,3.13,3.14,3.13,198.0,619.74
000780,2018-12-20,11:30:00,3.13,3.14,3.14,3.13,56.0,175.84
000780,2018-12-20,11:15:00,3.14,3.13,3.15,3.13,260.1,814.113
000780,2018-12-20,11:00:00,3.14,3.14,3.14,3.14,78.0,244.92
000780,2018-12-20,10:45:00,3.14,3.14,3.15,3.13,307.45,965.393
000780,2018-12-20,10:30:00,3.15,3.14,3.15,3.13,322.0,1011.08
000780,2018-12-20,10:15:00,3.12,3.15,3.15,3.12,2124.0,6690.5999999999985
000780,2018-12-20,10:00:00,3.12,3.12,3.13,3.12,238.0,742.5600000000002
000780,2018-12-20,09:45:00,3.14,3.12,3.14,3.12,1127.0,3516.24
002033,2018-12-20,15:00:00,5.72,5.72,5.73,5.71,568.51,3251.8772
002033,2018-12-20,14:45:00,5.72,5.72,5.74,5.72,1049.0,6000.28
002033,2018-12-20,14:30:00,5.72,5.72,5.73,5.71,577.2,3301.5840000000007
002033,2018-12-20,14:15:00,5.74,5.72,5.74,5.71,635.0,3632.2
002033,2018-12-20,14:00:00,5.71,5.74,5.74,5.71,976.31,5604.0194
002033,2018-12-20,13:45:00,5.7,5.71,5.72,5.7,817.6,4668.496
002033,2018-12-20,13:30:00,5.7,5.7,5.72,5.7,855.0,4873.5
002033,2018-12-20,13:15:00,5.71,5.7,5.73,5.7,636.0,3625.2
002033,2018-12-20,11:30:00,5.73,5.71,5.73,5.7,1564.0,8930.44
002033,2018-12-20,11:15:00,5.74,5.72,5.74,5.72,814.0,4656.08
002033,2018-12-20,11:00:00,5.73,5.74,5.74,5.73,729.0,4184.46
002033,2018-12-20,10:45:00,5.74,5.73,5.74,5.72,774.5,4437.885
002033,2018-12-20,10:30:00,5.74,5.74,5.74,5.73,486.0,2789.640000000001
002033,2018-12-20,10:15:00,5.71,5.74,5.75,5.7,1529.5,8779.33
002033,2018-12-20,10:00:00,5.71,5.71,5.72,5.7,836.8,4778.128
002033,2018-12-20,09:45:00,5.7,5.71,5.73,5.69,1372.72,7838.2312
300059,2018-12-20,15:00:00,12.67,12.71,12.72,12.66,43464.9,552438.8790000001
300059,2018-12-20,14:45:00,12.72,12.66,12.73,12.65,29270.0,370558.2
300059,2018-12-20,14:30:00,12.69,12.72,12.73,12.68,36379.5,462747.2400000001
300059,2018-12-20,14:15:00,12.71,12.69,12.77,12.67,92978.4,1179895.896
300059,2018-12-20,14:00:00,12.49,12.71,12.79,12.48,191431.0,2433088.01
300059,2018-12-20,13:45:00,12.42,12.48,12.5,12.41,35666.0,445111.68
300059,2018-12-20,13:30:00,12.47,12.42,12.48,12.4,49638.9,616515.1379999999
300059,2018-12-20,13:15:00,12.47,12.47,12.49,12.43,44181.0,550937.0700000001
300059,2018-12-20,11:30:00,12.56,12.48,12.56,12.48,36421.7,454542.816
300059,2018-12-20,11:15:00,12.58,12.56,12.6,12.52,24544.6,308280.17600000004
300059,2018-12-20,11:00:00,12.6,12.59,12.63,12.56,33655.9,423727.781
300059,2018-12-20,10:45:00,12.56,12.61,12.61,12.53,29575.2,372943.27200000006
300059,2018-12-20,10:30:00,12.63,12.56,12.64,12.52,35992.8,452069.56799999997
300059,2018-12-20,10:15:00,12.57,12.63,12.66,12.56,88389.2,1116355.596
300059,2018-12-20,10:00:00,12.52,12.56,12.6,12.49,92137.8,1157250.7680000002
300059,2018-12-20,09:45:00,12.55,12.51,12.6,12.44,131874.0,1649743.74
002315,2018-12-20,15:00:00,12.53,12.61,12.65,12.53,827.04,10428.9744
002315,2018-12-20,14:45:00,12.6,12.53,12.6,12.52,822.02,10299.9106
002315,2018-12-20,14:30:00,12.48,12.6,12.6,12.46,665.0,8379.0
002315,2018-12-20,14:15:00,12.48,12.48,12.54,12.48,462.0,5765.76
002315,2018-12-20,14:00:00,12.41,12.48,12.51,12.4,429.0,5353.92
002315,2018-12-20,13:45:00,12.35,12.41,12.41,12.34,187.0,2320.67
002315,2018-12-20,13:30:00,12.38,12.35,12.4,12.35,185.0,2284.75
002315,2018-12-20,13:15:00,12.42,12.38,12.42,12.37,163.0,2017.94
002315,2018-12-20,11:30:00,12.45,12.42,12.45,12.42,372.0,4620.24
002315,2018-12-20,11:15:00,12.5,12.45,12.51,12.44,238.0,2963.1
002315,2018-12-20,11:00:00,12.5,12.5,12.52,12.49,272.0,3400.0
002315,2018-12-20,10:45:00,12.49,12.5,12.5,12.45,359.0,4487.5
002315,2018-12-20,10:30:00,12.51,12.48,12.51,12.47,366.0,4567.68
002315,2018-12-20,10:15:00,12.4,12.51,12.55,12.39,1198.02,14987.2302
002315,2018-12-20,10:00:00,12.35,12.4,12.4,12.33,632.0,7836.8
002315,2018-12-20,09:45:00,12.35,12.33,12.39,12.32,369.0,4549.77
600313,2018-12-20,15:00:00,2.24,2.26,2.26,2.24,4351.0,9833.259999999998
600313,2018-12-20,14:45:00,2.25,2.24,2.25,2.24,2573.0,5763.52
600313,2018-12-20,14:30:00,2.25,2.25,2.25,2.24,1558.0,3505.5
600313,2018-12-20,14:15:00,2.25,2.25,2.26,2.24,1342.0,3019.5
600313,2018-12-20,14:00:00,2.25,2.25,2.26,2.24,4977.0,11198.25
600313,2018-12-20,13:45:00,2.23,2.25,2.25,2.23,2304.0,5184.0
600313,2018-12-20,13:30:00,2.24,2.23,2.25,2.23,3804.0,8482.92
600313,2018-12-20,13:15:00,2.25,2.24,2.25,2.24,2137.0,4786.88
600313,2018-12-20,11:30:00,2.25,2.25,2.25,2.24,477.0,1073.25
600313,2018-12-20,11:15:00,2.25,2.25,2.25,2.24,2543.0,5721.75
600313,2018-12-20,11:00:00,2.25,2.25,2.25,2.23,3613.0,8129.25
